chemicalComposition,Equation,activationEnergy,reactionEnergy,facet
Pd36Zn2,Pd(g) + * -> Pd*,,-3.33574756907,211
Os2Pt25,Os(g) + * -> Os*,,-7.81787840875,100
Ir24Ru3,Ir(g) + * -> Ir*,,-7.51406792059,100
AuPd25,Au(g) + * -> Au*,,-2.93743343727,100
Au25Ir,Au(g) + * -> Au*,,-3.14648619546,100
Cu27,Pd(g) + * -> Pd*,,-4.20367204249,111
CuRh24,Rh(g) + * -> Rh*,,-4.60133214864,111
Ir26,Pd(g) + * -> Pd*,,-3.83282766785,100
Ag2Rh25,Ag(g) + * -> Ag*,,-2.46565305571,100
Ag36Rh2,Ag(g) + * -> Ag*,,-2.27950765777,211
Au2Ir25,Au(g) + * -> Au*,,-3.13374691342,111
Cu25Rh,Rh(g) + * -> Rh*,,-5.34101650733,111
Ag25Re2,Ag(g) + * -> Ag*,,-2.69306846471,100
Cu2Ir24,Cu(g) + * -> Cu*,,-3.5758939606,100
Cu37Os,Cu(g) + * -> Cu*,,-3.64272498625,211
Ag25Ru,Ru(g) + * -> Ru*,,-5.4145939836,111
Pt24,Ag(g) + * -> Ag*,,-2.41073877996,100
Rh36,Zn(g) + * -> Zn*,,-1.94666010473,211
Os2Pt24,Pt(g) + * -> Pt*,,-6.17387128784,111
Ag38,Os(g) + * -> Os*,,-3.66485124367,211
Pd36Re,Re(g) + * -> Re*,,-6.27910989094,211
Ir37Zn,Ir(g) + * -> Ir*,,-6.94951379116,211
Au24Ru2,Au(g) + * -> Au*,,-3.45794886522,111
Os3Pt24,Os(g) + * -> Os*,,-7.60663098432,100
Cu2Pt24,Cu(g) + * -> Cu*,,-3.31878439982,111
Pd24Zn3,Pd(g) + * -> Pd*,,-3.47965382242,100
CuIr25,Ir(g) + * -> Ir*,,-6.97503153958,100
AuPt37,Au(g) + * -> Au*,,-3.10364547519,211
Rh25Ru2,Ru(g) + * -> Ru*,,-6.72829910851,100
Au37Pd,Au(g) + * -> Au*,,-2.69228797415,211
Au26Ru,Au(g) + * -> Au*,,-2.95785646611,100
Pt25Rh,Rh(g) + * -> Rh*,,-5.32092300836,111
Pd24Pt2,Pt(g) + * -> Pt*,,-5.44475004869,111
Ir37,Ru(g) + * -> Ru*,,-6.20093457492,211
Au26Pd,Au(g) + * -> Au*,,-2.70443595278,100
AgRh25,Rh(g) + * -> Rh*,,-5.67657458644,100
Pt25Zn2,Zn(g) + * -> Zn*,,-2.04135334371,100
Ir25,Ru(g) + * -> Ru*,,-5.36284935803,100
Cu24Zn3,Cu(g) + * -> Cu*,,-3.20025840937,100
AgIr26,Ir(g) + * -> Ir*,,-6.87347225592,100
Au25Pd2,Au(g) + * -> Au*,,-3.23716174145,111
Ag25Pd2,Pd(g) + * -> Pd*,,-3.67585437134,111
Ir25Pd2,Pd(g) + * -> Pd*,,-4.18188606339,111
Cu24Ru,Cu(g) + * -> Cu*,,-2.66231150419,100
CuPd25,Pd(g) + * -> Pd*,,-3.59230718778,100
Ag2Pt24,Ag(g) + * -> Ag*,,-2.47283019459,100
Pd26,Ru(g) + * -> Ru*,,-5.61072766058,100
AgPt25,Ag(g) + * -> Ag*,,-2.68986983442,100
OsPd36,Pd(g) + * -> Pd*,,-3.51091480578,211
Cu36Os,Cu(g) + * -> Cu*,,-3.30025208602,211
Rh37Ru,Ru(g) + * -> Ru*,,-6.30131315663,211
Ir2Pt24,Ir(g) + * -> Ir*,,-7.29232962285,100
Pt26,Ru(g) + * -> Ru*,,-5.81967708351,111
Cu2Pd24,Pd(g) + * -> Pd*,,-3.06807570506,100
Pt26,Pd(g) + * -> Pd*,,-3.2970832522,100
Pd36,Cu(g) + * -> Cu*,,-3.06130041032,211
Rh25,Re(g) + * -> Re*,,-5.78368472055,111
AgIr26,Ir(g) + * -> Ir*,,-7.7611182487,111
Ir3Pt24,Ir(g) + * -> Ir*,,-6.7941658987,100
Pt25,Ru(g) + * -> Ru*,,-4.98724877342,111
Ag25Cu,Ag(g) + * -> Ag*,,-2.01368916122,100
AuPt37,Pt(g) + * -> Pt*,,-5.15009340247,211
Ag2Rh25,Rh(g) + * -> Rh*,,-5.62819043084,111
Ir25,Rh(g) + * -> Rh*,,-5.04776437672,100
Ag25Ru,Ag(g) + * -> Ag*,,-2.1111309542,100
Cu2Pt24,Cu(g) + * -> Cu*,,-3.62809607759,100
Cu2Ir36,Ir(g) + * -> Ir*,,-6.64890757964,211
Rh37,Ru(g) + * -> Ru*,,-5.78072963218,211
